Import Deal ID,Deal Name,Customer Code,Sector,Deal Stage,Deal Status,Deal Value,Win Probability,Tentative Close Date,Tentative Close Period,Actual Close Date,Deal Owner,Created Date,Product or Service,Data Quality Severity,Data Quality Issues,Source Row Number
IMPORT-DEAL-3C480D55618E,Anna,COMPANY_097,Mining,Work Order Received,Won,1706643.0,,2025-05-13,,,OWNER_003,2025-01-16,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_097' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-3C480D55618E due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),279
IMPORT-DEAL-04F9F292DB9C,Olaf,COMPANY_031,Renewables,Work Order Received,Won,1706643.0,,2025-02-28,,,OWNER_003,2025-01-16,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_031' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-04F9F292DB9C due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),280
IMPORT-DEAL-D00BA373CD1F,Baymax,COMPANY_002,Mining,Work Order Received,Won,368243.4,,2025-02-11,,,OWNER_003,2025-01-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_002' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-D00BA373CD1F due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),281
IMPORT-DEAL-4BA7046BBA12,Stitch,COMPANY_005,Mining,Work Order Received,Won,61170.0,,2025-02-28,,,OWNER_003,2025-01-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_005' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-4BA7046BBA12 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),282
IMPORT-DEAL-5DA4D84BA866,Inosuke,COMPANY_182,Mining,Project Completed,Won,,,2025-02-28,,,OWNER_001,2025-01-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_182' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-5DA4D84BA866 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),283
IMPORT-DEAL-0E6729C71451,Tanjiro Kamado,COMPANY_199,Renewables,Work Order Received,Won,881077.9992000001,,2025-02-28,,,OWNER_003,2025-01-17,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_199' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-0E6729C71451 due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),284
IMPORT-DEAL-AE8BBF08F597,Moana,COMPANY_182,Mining,Project Completed,Won,,,2025-02-28,,,OWNER_001,2025-01-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_182' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-AE8BBF08F597 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),285
IMPORT-DEAL-837845C34FBA,Mulan,COMPANY_182,Mining,Project Completed,Won,,,2025-02-28,,,OWNER_001,2025-01-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_182' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-837845C34FBA due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),286
IMPORT-DEAL-8B77B483E981,Simba,COMPANY_182,Mining,Project Completed,Won,,,2025-02-28,,,OWNER_001,2025-01-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_182' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-8B77B483E981 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),287
IMPORT-DEAL-8FF09BFF4584,Timon,COMPANY_038,Renewables,Project Completed,Won,,,2025-01-29,,,OWNER_001,2025-01-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_038' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-8FF09BFF4584 due to missing source primary key | [missing_deal_value] Deal value is missing | [missing_probability] Closure probability is missing (not imputed),288
