Work Order ID,Work Order Name,Deal Reference (Unavailable),Customer Code,Sector,Nature of Work,Execution Status,Contract Value Excl Tax,Contract Value Incl Tax,Implied Tax Rate,Probable Start Date,Probable End Date,Completion Date,Invoice Status,Billing Status,Owner,Data Quality Severity,Data Quality Issues,Source Row Number
SDPLDEAL-034,Naruto,,COMPANY_001,Renewables,One time Project,Completed,308300.0,363794.0,0.18,2025-05-27,2025-06-30,,Fully Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_001',38
SDPLDEAL-035,Inosuke,,COMPANY_045,Railways,Proof of Concept,Ongoing,1.2332,1.455176,0.18,2025-06-01,2025-06-30,,,Not Billable,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_045',39
SDPLDEAL-037,Alias_162,,COMPANY_052,Mining,Annual Rate Contract,Completed,2250751.5492000002,2655886.828056,0.18,2025-06-04,2025-06-30,2025-06-18,Partially Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_052',40
SDPLDEAL-038,Alias_162,,COMPANY_052,Mining,One time Project,Completed,476015.2,561697.936,0.18,2025-06-12,2025-06-30,2025-06-22,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_052',41
SDPLDEAL-040,Alphonse,,COMPANY_009,Renewables,One time Project,Completed,1426208.132,1682925.59576,0.18,2025-06-16,2025-07-04,2025-09-23,Not Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',42
SDPLDEAL-041,Alphonse,,COMPANY_009,Renewables,One time Project,Completed,443952.0,523863.36000000004,0.18,2025-06-02,2025-06-13,2025-06-11,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',43
SDPLDEAL-042,Alphonse,,COMPANY_009,Renewables,One time Project,Completed,881738.0,1040450.8400000001,0.18,2025-06-02,2025-06-11,,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',44
SDPLDEAL-043,Erwin,,COMPANY_021,Mining,One time Project,Completed,16648.2,19644.876,0.18,2025-06-16,2025-06-23,2025-06-15,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_021',45
SDPLDEAL-044,Tanjiro,,COMPANY_005,Mining,One time Project,Completed,12774.7188,15074.168184000002,0.18,2025-06-14,2025-06-23,2025-07-02,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_005',46
SDPLDEAL-046,Tanjiro,,COMPANY_051,Mining,One time Project,Completed,390952.7636,461324.2610480001,0.18,2025-05-22,2025-06-22,2025-05-05,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',47
SDPLDEAL-047,Tanjiro,,COMPANY_051,Mining,One time Project,Completed,476539.31000000006,562316.3858,0.18,2025-05-15,2025-06-16,2025-05-26,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',48
SDPLDEAL-048,Tanjiro,,COMPANY_051,Mining,One time Project,Completed,145842.48654,172094.13411720004,0.18,2025-04-14,2025-06-30,2025-05-13,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',49
SDPLDEAL-049,Tanjiro,,COMPANY_051,Mining,One time Project,Completed,707388.184,834718.05712,0.18,2025-04-21,2025-07-21,2025-06-10,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',50
SDPLDEAL-050,Timon,,COMPANY_046,Renewables,Proof of Concept,Completed,1.2332,1.455176,0.18,2025-06-23,2025-08-10,,,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_046',51
SDPLDEAL-051,Alphonse,,COMPANY_009,Renewables,One time Project,Completed,2466400.0,2910352.0,0.18,2025-01-01,2025-06-20,,Fully Billed,,OWNER_005,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_009',52
SDPLDEAL-053,Mr. Krabs,,COMPANY_031,Mining,Monthly Contract,Executed Current Month,184980.0,218276.40000000002,0.18,2025-05-15,2025-05-19,,Fully Billed,,OWNER_004,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_031',53
SDPLDEAL-054,Mojo Jojo,,COMPANY_036,Mining,One time Project,Completed,65976.2,77851.916,0.18,2025-06-04,2025-06-11,2025-01-23,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_036',54
